,Synset,Glosa
1113,100238778,inducción de sueño o hipnosis
1114,100238871,None
1115,100239024,None
1116,100239230,None
1117,100239483,None
1118,100239666,None
1119,100239766,None
1120,100239910,None
1121,100240184,None
1122,100240754,None
1123,100240938,None
1124,100241245,None
1125,100241507,None
1126,100241699,None
1127,100242003,None
1128,100242146,None
1129,100242431,None
1130,100242583,None
1131,100242808,None
1132,100243102,None
1133,100243237,None
1134,100243373,None
1135,100243577,None
1136,100243662,etapa inicial de cuando se_lleva_a_cabo algo
1137,100243813,None
1138,100243918,None
1139,100246341,None
1140,100246460,cocimiento sin cáscara de los huevos
1141,100246552,None
1142,100246754,None
1143,100246940,None
1144,100247081,None
1145,100247229,None
1146,100247342,None
1147,100247442,None
1148,100247654,None
1149,100247792,None
1150,100247955,None
1151,100248063,None
1152,100248252,None
1153,100248368,None
1154,100248534,None
1155,100248636,None
1156,100248748,None
1157,100248977,None
1158,100249501,None
1159,100249780,avance de alguna acción
1160,100249987,progreso significativo
1161,100250143,None
1162,100250259,None
1163,100250597,None
1164,100250710,None
1165,100250882,None
1166,100251013,None
1167,100251520,None
1168,100251636,None
1169,100251780,None
1170,100252020,limpieza con una fregona
1171,100252169,None
1172,100252307,None
1173,100252430,None
1174,100252662,None
1175,100252894,None
1176,100253070,ceremonial de limpieza de profanaciones o impurezas mediante la realización de ritos apropiados
1177,100253270,None
1178,100253395,eliminación de tensiones emocionales
1179,100253577,purificación del cuerpo usando un purgante para estimular la evacuación de los intestinos
1180,100253773,None
1181,100253919,None
1182,100254166,None
1183,100254415,None
1184,100254597,None
1185,100254769,None
1186,100254922,None
1187,100255065,None
1188,100255214,None
1189,100255450,None
1190,100255600,None
1191,100255710,None
1192,100256122,None
1193,100256217,None
1194,100256309,lavar suavemente sin jabón
1195,100256407,None
1196,100256501,lavar algo haciendo que esté en remojo
1197,100256620,None
1198,100256746,None
1199,100256961,None
1200,100257115,None
1201,100257228,None
